[2020-08-18 02:56:23,905][INFO]:GRPCServer initiated
[2020-08-18 04:23:29,992][INFO]:轮次87，轮次时间2020-08-18 04:22:59.752356，100K路由发送延时0:00:25.872388，100K路由传输耗时0:00:04.345451
[2020-08-18 04:24:29,721][INFO]:轮次88，轮次时间2020-08-18 04:23:59.752054，100K路由发送延时0:00:25.600385，100K路由传输耗时0:00:04.344444
[2020-08-18 04:25:29,919][INFO]:轮次89，轮次时间2020-08-18 04:24:59.758981，100K路由发送延时0:00:25.791052，100K路由传输耗时0:00:04.338399
[2020-08-18 04:26:29,924][INFO]:轮次90，轮次时间2020-08-18 04:25:59.758248，100K路由发送延时0:00:25.790561，100K路由传输耗时0:00:04.344941
[2020-08-18 04:27:30,240][INFO]:轮次91，轮次时间2020-08-18 04:26:59.758383，100K路由发送延时0:00:26.105830，100K路由传输耗时0:00:04.344692
[2020-08-18 04:28:30,148][INFO]:轮次92，轮次时间2020-08-18 04:27:59.758309，100K路由发送延时0:00:25.943646，100K路由传输耗时0:00:04.422645
[2020-08-18 04:29:30,524][INFO]:轮次93，轮次时间2020-08-18 04:28:59.747024，100K路由发送延时0:00:26.349541，100K路由传输耗时0:00:04.400505
[2020-08-18 04:30:29,967][INFO]:轮次94，轮次时间2020-08-18 04:29:59.746187，100K路由发送延时0:00:25.784477，100K路由传输耗时0:00:04.405704
[2020-08-18 04:31:30,083][INFO]:轮次95，轮次时间2020-08-18 04:30:59.757770，100K路由发送延时0:00:25.873149，100K路由传输耗时0:00:04.420947
[2020-08-18 04:32:29,864][INFO]:轮次96，轮次时间2020-08-18 04:31:59.757593，100K路由发送延时0:00:25.721486，100K路由传输耗时0:00:04.354095
[2020-08-18 04:33:29,912][INFO]:轮次97，轮次时间2020-08-18 04:32:59.760997，100K路由发送延时0:00:25.760962，100K路由传输耗时0:00:04.358913
[2020-08-18 04:34:30,178][INFO]:轮次98，轮次时间2020-08-18 04:33:59.756858，100K路由发送延时0:00:26.060718，100K路由传输耗时0:00:04.329931
[2020-08-18 04:35:29,989][INFO]:轮次99，轮次时间2020-08-18 04:34:59.757171，100K路由发送延时0:00:25.842947，100K路由传输耗时0:00:04.373827
[2020-08-18 04:36:29,746][INFO]:轮次100，轮次时间2020-08-18 04:35:59.755843，100K路由发送延时0:00:25.628487，100K路由传输耗时0:00:04.337421
[2020-08-18 04:37:30,001][INFO]:轮次101，轮次时间2020-08-18 04:36:59.743094，100K路由发送延时0:00:25.885967，100K路由传输耗时0:00:04.352955
[2020-08-18 04:38:29,838][INFO]:轮次102，轮次时间2020-08-18 04:37:59.751311，100K路由发送延时0:00:25.723806，100K路由传输耗时0:00:04.341488
[2020-08-18 04:39:30,478][INFO]:轮次103，轮次时间2020-08-18 04:38:59.755766，100K路由发送延时0:00:26.112708，100K路由传输耗时0:00:04.586640
[2020-08-18 04:40:29,821][INFO]:轮次104，轮次时间2020-08-18 04:39:59.755014，100K路由发送延时0:00:25.696537，100K路由传输耗时0:00:04.354249
[2020-08-18 04:41:29,919][INFO]:轮次105，轮次时间2020-08-18 04:40:59.755866，100K路由发送延时0:00:25.799511，100K路由传输耗时0:00:04.343803
[2020-08-18 04:42:30,071][INFO]:轮次106，轮次时间2020-08-18 04:41:59.755855，100K路由发送延时0:00:25.972178，100K路由传输耗时0:00:04.321551
[2020-08-18 04:43:30,317][INFO]:轮次107，轮次时间2020-08-18 04:42:59.740156，100K路由发送延时0:00:25.920080，100K路由传输耗时0:00:04.633571
[2020-08-18 04:44:29,879][INFO]:轮次108，轮次时间2020-08-18 04:43:59.743979，100K路由发送延时0:00:25.807851，100K路由传输耗时0:00:04.306997
[2020-08-18 04:45:30,087][INFO]:轮次109，轮次时间2020-08-18 04:44:59.754979，100K路由发送延时0:00:25.906227，100K路由传输耗时0:00:04.395190
[2020-08-18 04:46:29,912][INFO]:轮次110，轮次时间2020-08-18 04:45:59.746104，100K路由发送延时0:00:25.715923，100K路由传输耗时0:00:04.419039
[2020-08-18 04:47:29,924][INFO]:轮次111，轮次时间2020-08-18 04:46:59.755468，100K路由发送延时0:00:25.785139，100K路由传输耗时0:00:04.361578
[2020-08-18 04:48:29,657][INFO]:轮次112，轮次时间2020-08-18 04:47:59.744133，100K路由发送延时0:00:25.592869，100K路由传输耗时0:00:04.298325
[2020-08-18 04:49:30,019][INFO]:轮次113，轮次时间2020-08-18 04:48:59.744534，100K路由发送延时0:00:25.892775，100K路由传输耗时0:00:04.358416
[2020-08-18 04:50:29,817][INFO]:轮次114，轮次时间2020-08-18 04:49:59.748031，100K路由发送延时0:00:25.696397，100K路由传输耗时0:00:04.341804
[2020-08-18 04:51:30,084][INFO]:轮次115，轮次时间2020-08-18 04:50:59.753149，100K路由发送延时0:00:25.980884，100K路由传输耗时0:00:04.328826
[2020-08-18 04:52:29,995][INFO]:轮次116，轮次时间2020-08-18 04:51:59.752894，100K路由发送延时0:00:25.772480，100K路由传输耗时0:00:04.454391
[2020-08-18 04:53:30,168][INFO]:轮次117，轮次时间2020-08-18 04:52:59.752820，100K路由发送延时0:00:26.017880，100K路由传输耗时0:00:04.366600
[2020-08-18 04:54:29,744][INFO]:轮次118，轮次时间2020-08-18 04:53:59.752962，100K路由发送延时0:00:25.601988，100K路由传输耗时0:00:04.358006
[2020-08-18 04:55:29,944][INFO]:轮次119，轮次时间2020-08-18 04:54:59.753068，100K路由发送延时0:00:25.836160，100K路由传输耗时0:00:04.323898
[2020-08-18 04:56:29,714][INFO]:轮次120，轮次时间2020-08-18 04:55:59.752465，100K路由发送延时0:00:25.574303，100K路由传输耗时0:00:04.357088
[2020-08-18 04:57:29,886][INFO]:轮次121，轮次时间2020-08-18 04:56:59.753259，100K路由发送延时0:00:25.774975，100K路由传输耗时0:00:04.327296
[2020-08-18 04:58:29,895][INFO]:轮次122，轮次时间2020-08-18 04:57:59.747618，100K路由发送延时0:00:25.772580，100K路由传输耗时0:00:04.352991
[2020-08-18 04:59:29,981][INFO]:轮次123，轮次时间2020-08-18 04:58:59.746952，100K路由发送延时0:00:25.887993，100K路由传输耗时0:00:04.315178
[2020-08-18 05:00:29,655][INFO]:轮次124，轮次时间2020-08-18 04:59:59.751092，100K路由发送延时0:00:25.554895，100K路由传输耗时0:00:04.318367
[2020-08-18 05:01:30,342][INFO]:轮次125，轮次时间2020-08-18 05:00:59.752057，100K路由发送延时0:00:26.201047，100K路由传输耗时0:00:04.357819
[2020-08-18 05:02:29,984][INFO]:轮次126，轮次时间2020-08-18 05:01:59.751218，100K路由发送延时0:00:25.835947，100K路由传输耗时0:00:04.378807
[2020-08-18 05:03:29,967][INFO]:轮次127，轮次时间2020-08-18 05:02:59.748262，100K路由发送延时0:00:25.821795，100K路由传输耗时0:00:04.365592
[2020-08-18 05:04:29,623][INFO]:轮次128，轮次时间2020-08-18 05:03:59.751557，100K路由发送延时0:00:25.513153，100K路由传输耗时0:00:04.326986
[2020-08-18 05:05:30,604][INFO]:轮次129，轮次时间2020-08-18 05:04:59.750803，100K路由发送延时0:00:26.420347，100K路由传输耗时0:00:04.413776
[2020-08-18 05:06:29,771][INFO]:轮次130，轮次时间2020-08-18 05:05:59.751658，100K路由发送延时0:00:25.531295，100K路由传输耗时0:00:04.464754
[2020-08-18 05:07:29,986][INFO]:轮次131，轮次时间2020-08-18 05:06:59.749431，100K路由发送延时0:00:25.721975，100K路由传输耗时0:00:04.497750
[2020-08-18 05:08:29,797][INFO]:轮次132，轮次时间2020-08-18 05:07:59.750734，100K路由发送延时0:00:25.610253，100K路由传输耗时0:00:04.405724
[2020-08-18 05:09:30,400][INFO]:轮次133，轮次时间2020-08-18 05:08:59.749696，100K路由发送延时0:00:26.157666，100K路由传输耗时0:00:04.473889
[2020-08-18 05:10:29,839][INFO]:轮次134，轮次时间2020-08-18 05:09:59.749777，100K路由发送延时0:00:25.693946，100K路由传输耗时0:00:04.364752
[2020-08-18 05:11:30,244][INFO]:轮次135，轮次时间2020-08-18 05:10:59.741810，100K路由发送延时0:00:26.148040，100K路由传输耗时0:00:04.334209
[2020-08-18 05:12:30,047][INFO]:轮次136，轮次时间2020-08-18 05:11:59.750479，100K路由发送延时0:00:25.672381，100K路由传输耗时0:00:04.604651
[2020-08-18 05:13:30,313][INFO]:轮次137，轮次时间2020-08-18 05:12:59.737254，100K路由发送延时0:00:25.857135，100K路由传输耗时0:00:04.687452
[2020-08-18 05:14:29,754][INFO]:轮次138，轮次时间2020-08-18 05:13:59.749386，100K路由发送延时0:00:25.643203，100K路由传输耗时0:00:04.331388
[2020-08-18 05:15:30,271][INFO]:轮次139，轮次时间2020-08-18 05:14:59.749976，100K路由发送延时0:00:26.144614，100K路由传输耗时0:00:04.345488
[2020-08-18 05:16:29,736][INFO]:轮次140，轮次时间2020-08-18 05:15:59.736394，100K路由发送延时0:00:25.690563，100K路由传输耗时0:00:04.278237
[2020-08-18 05:17:30,336][INFO]:轮次141，轮次时间2020-08-18 05:16:59.735656，100K路由发送延时0:00:26.192313，100K路由传输耗时0:00:04.388423
[2020-08-18 05:18:29,881][INFO]:轮次142，轮次时间2020-08-18 05:17:59.750217，100K路由发送延时0:00:25.720803，100K路由传输耗时0:00:04.390349
[2020-08-18 05:19:29,958][INFO]:轮次143，轮次时间2020-08-18 05:18:59.736981，100K路由发送延时0:00:25.843623，100K路由传输耗时0:00:04.346823
[2020-08-18 05:20:30,068][INFO]:轮次144，轮次时间2020-08-18 05:19:59.748541，100K路由发送延时0:00:25.911504，100K路由传输耗时0:00:04.376696
[2020-08-18 05:21:29,768][INFO]:轮次145，轮次时间2020-08-18 05:20:59.737273，100K路由发送延时0:00:25.695174，100K路由传输耗时0:00:04.313386
[2020-08-18 05:22:29,962][INFO]:轮次146，轮次时间2020-08-18 05:21:59.747110，100K路由发送延时0:00:25.832435，100K路由传输耗时0:00:04.358483
[2020-08-18 05:23:29,863][INFO]:轮次147，轮次时间2020-08-18 05:22:59.747766，100K路由发送延时0:00:25.751611，100K路由传输耗时0:00:04.348308
[2020-08-18 05:24:29,754][INFO]:轮次148，轮次时间2020-08-18 05:23:59.747580，100K路由发送延时0:00:25.599841，100K路由传输耗时0:00:04.376460
[2020-08-18 05:25:30,129][INFO]:轮次149，轮次时间2020-08-18 05:24:59.746621，100K路由发送延时0:00:25.866852，100K路由传输耗时0:00:04.484522
[2020-08-18 05:26:29,853][INFO]:轮次150，轮次时间2020-08-18 05:25:59.739011，100K路由发送延时0:00:25.744951，100K路由传输耗时0:00:04.353421
[2020-08-18 05:27:30,038][INFO]:轮次151，轮次时间2020-08-18 05:26:59.743506，100K路由发送延时0:00:25.915106，100K路由传输耗时0:00:04.361161
[2020-08-18 05:28:29,963][INFO]:轮次152，轮次时间2020-08-18 05:27:59.746888，100K路由发送延时0:00:25.775112，100K路由传输耗时0:00:04.410697
[2020-08-18 05:29:29,846][INFO]:轮次153，轮次时间2020-08-18 05:28:59.746587，100K路由发送延时0:00:25.698445，100K路由传输耗时0:00:04.380409
[2020-08-18 05:30:29,969][INFO]:轮次154，轮次时间2020-08-18 05:29:59.739253，100K路由发送延时0:00:25.844304，100K路由传输耗时0:00:04.354751
[2020-08-18 05:31:30,119][INFO]:轮次155，轮次时间2020-08-18 05:30:59.740380，100K路由发送延时0:00:25.999736，100K路由传输耗时0:00:04.361337
[2020-08-18 05:32:29,909][INFO]:轮次156，轮次时间2020-08-18 05:31:59.744004，100K路由发送延时0:00:25.856315，100K路由传输耗时0:00:04.289898
[2020-08-18 05:33:30,210][INFO]:轮次157，轮次时间2020-08-18 05:32:59.741337，100K路由发送延时0:00:26.116326，100K路由传输耗时0:00:04.321116
[2020-08-18 05:34:30,363][INFO]:轮次158，轮次时间2020-08-18 05:33:59.745047，100K路由发送延时0:00:25.908718，100K路由传输耗时0:00:04.678044
[2020-08-18 05:35:30,221][INFO]:轮次159，轮次时间2020-08-18 05:34:59.744622，100K路由发送延时0:00:26.028474，100K路由传输耗时0:00:04.416846
[2020-08-18 05:36:29,711][INFO]:轮次160，轮次时间2020-08-18 05:35:59.745975，100K路由发送延时0:00:25.595494，100K路由传输耗时0:00:04.350410
[2020-08-18 05:37:30,017][INFO]:轮次161，轮次时间2020-08-18 05:36:59.741859，100K路由发送延时0:00:25.853367，100K路由传输耗时0:00:04.402486
[2020-08-18 05:38:29,919][INFO]:轮次162，轮次时间2020-08-18 05:37:59.742625，100K路由发送延时0:00:25.787434，100K路由传输耗时0:00:04.371869
[2020-08-18 05:39:30,174][INFO]:轮次163，轮次时间2020-08-18 05:38:59.744505，100K路由发送延时0:00:25.936312，100K路由传输耗时0:00:04.469762
[2020-08-18 05:40:29,867][INFO]:轮次164，轮次时间2020-08-18 05:39:59.744869，100K路由发送延时0:00:25.746031，100K路由传输耗时0:00:04.344915
[2020-08-18 05:41:30,024][INFO]:轮次165，轮次时间2020-08-18 05:40:59.743791，100K路由发送延时0:00:25.828056，100K路由传输耗时0:00:04.421463
[2020-08-18 05:42:29,842][INFO]:轮次166，轮次时间2020-08-18 05:41:59.743743，100K路由发送延时0:00:25.753359，100K路由传输耗时0:00:04.314166
[2020-08-18 05:43:30,377][INFO]:轮次167，轮次时间2020-08-18 05:42:59.743143，100K路由发送延时0:00:25.891293，100K路由传输耗时0:00:04.722855
[2020-08-18 05:44:29,973][INFO]:轮次168，轮次时间2020-08-18 05:43:59.728041，100K路由发送延时0:00:25.862322，100K路由传输耗时0:00:04.362899
